,metrix,MAG,fdr,fdr1,fdr2,fdr3,p,ptb_sub_count,tb_sub_count,ptb_sub_mean,tb_sub_mean,p1,ptb_sub_count1,tb_sub_count1,ptb_sub_mean1,tb_sub_mean1,p2,ptb_sub_count2,tb_sub_count2,ptb_sub_mean2,tb_sub_mean2,p3,ptb_sub_count3,tb_sub_count3,ptb_sub_mean3,tb_sub_mean3
37,nt.df,MAG046.fasta,0.4699077223891549,0.7679998525824229,0.595238831848417,0.9867442014963528,0.20558462854525528,17,38,0.005387734938172094,0.004247969745199339,0.67199987100962,7,9,0.006168434820659593,0.0052038076714345325,0.12088484625393445,8,20,0.006239138015922768,0.004015761552701975,0.9867442014963528,11,26,0.003925519466703896,0.003720009975438747
38,nt.df,MAG049.fasta,0.7263025984893962,0.8652758373429184,0.9883205831071412,0.9613751966456877,0.49697948739896997,21,49,0.006829019113838221,0.00572409145746553,0.8111960975089859,8,14,0.0072593407523280735,0.006187337643845321,0.964355784037191,13,26,0.006436937222664988,0.006315189963289621,0.4206016485324884,10,35,0.006418423254197227,0.0055358609058177525
41,nt.df,MAG050.fasta,0.7263025984893962,0.4073427824816718,0.7370370819800725,0.9867442014963528,0.5447269488670471,19,37,0.004755324105428294,0.003906163370533776,0.30550708686125383,7,10,0.00456460405608515,0.0033703333831153,0.3401043685615802,11,12,0.004978513582714818,0.005187726710085609,0.4948786238357511,7,26,0.004390244253212478,0.003922361020456221
40,nt.df,MAG051.fasta,0.06347280252559041,0.2445152340840019,0.9566296159654105,0.4417996008469669,0.012270056008301087,17,38,0.008249521083638292,0.005657241529472418,0.0922923390340732,5,8,0.01059350455539946,0.005915253407238275,0.7772615629718961,9,18,0.007374160737511567,0.007052811755543007,0.0828374251588063,10,25,0.0073333957054823795,0.004905328878678899
31,nt.df,MAG061.fasta,0.5326665314573589,0.2445152340840019,0.9883205831071412,0.9867442014963528,0.26633326572867944,20,50,0.0024273983380311425,0.002199375704441086,0.12225761704200094,6,12,0.003651423212295725,0.002415103374311554,0.9883205831071412,14,25,0.002285762862826889,0.0024339192084703773,0.9725963429423966,11,40,0.002062414849384764,0.0020918872797950627
28,nt.df,MAG080.fasta,0.31796730504948345,0.0,0.595238831848417,0.9613751966456877,0.1192377393935563,6,47,0.001037225665352785,0.0008672773486755503,0.0,0,15,,0.0010349487590176833,0.14209458241876322,3,26,0.0012173643423104665,0.0008759589599973923,0.3395223555654961,4,42,0.0009184398566796332,0.0008162223883261099
29,nt.df,MAG086.fasta,0.7263025984893962,0.5541152552233546,0.7370370819800725,0.9867442014963528,0.5372665894175652,33,102,0.002287926562969571,0.002341428125558281,0.4502186448689756,12,24,0.0025742911165884085,0.002228674267194892,0.3304535024204034,21,59,0.0025715166971635693,0.002359490912625895,0.7503341976440967,24,96,0.0021044212119782275,0.002204285605263918
36,nt.df,MAG113.fasta,0.8108515418913608,0.4073427824816718,0.9566296159654105,0.9867442014963528,0.7284815490277943,17,45,0.0012907469147754051,0.00131387804822489,0.3028130413278164,6,10,0.0015137083989497915,0.00144139208583252,0.7509341588352572,11,21,0.0012510603603587726,0.0014465612313207881,0.8104771690661389,8,29,0.0011314609958810438,0.0011663567426871695
30,nt.df,MAG122.fasta,0.9909659293951528,0.4073427824816718,0.7188436445560974,0.9867442014963528,0.9909659293951528,13,36,0.00040293858221652687,0.0004111455553368338,0.2888443663464849,1,4,0.0005275534910742,0.000376441363710675,0.22463863892378044,6,7,0.0003960754919814167,0.0005026115185623,0.6270849076141936,9,31,0.00040566633321348334,0.00039499459883287854
49,r2.df,MAG023.fasta,0.6264733063578745,0.8702368747941832,0.8624928872694413,0.7167418190688116,0.4176488709052496,13,38,0.5997741885122004,0.6488496867817695,0.5168677495508638,6,9,0.5775840831051933,0.6487425872356192,0.5381745267980822,8,13,0.6235749282187139,0.6537191749319773,0.4180993944568068,6,29,0.5800997657403126,0.6464215829799749
